 
MIMAT0000420
MIMAT0000421
MIMAT0002840
MIMAT0019045
MIMAT0000428
MIMAT0002849
MIMAT0000429
MIMAT0002848
MIMAT0000426
MIMAT0000427
MIMAT0002846
MIMAT0000424
MIMAT0000425
MIMAT0002844
MIMAT0000422
MIMAT0002843
MIMAT0000423
MIMAT0002842
MIMAT0000431
MIMAT0002852
MIMAT0000432
MIMAT0002850
MIMAT0000430
MIMAT0000439
MIMAT0002859
MIMAT0003948
MIMAT0000437
MIMAT0002858
MIMAT0000438
MIMAT0002857
MIMAT0000435
MIMAT0002856
MIMAT0003945
MIMAT0000436
MIMAT0000433
MIMAT0002854
MIMAT0000434
MIMAT0002853
MIMAT0019022
MIMAT0019024
MIMAT0018178
MIMAT0011778
MIMAT0011775
MIMAT0011777
MIMAT0009451
MIMAT0002829
MIMAT0002827
MIMAT0002826
MIMAT0000646
MIMAT0002825
MIMAT0002824
MIMAT0002823
MIMAT0002822
MIMAT0002820
MIMAT0002830
MIMAT0019013
MIMAT0019018
MIMAT0019019
MIMAT0010214
MIMAT0000419
MIMAT0002839
MIMAT0000417
MIMAT0002838
MIMAT0000418
MIMAT0002837
MIMAT0000415
MIMAT0000416
MIMAT0002835
MIMAT0002834
MIMAT0000414
MIMAT0002833
MIMAT0002832
MIMAT0002809
MIMAT0002808
MIMAT0002807
MIMAT0002806
MIMAT0002805
MIMAT0002819
MIMAT0002818
MIMAT0002817
MIMAT0009447
MIMAT0002816
MIMAT0009448
MIMAT0009206
MIMAT0002814
MIMAT0002812
MIMAT0002811
MIMAT0000617
MIMAT0005955
MIMAT0000266
MIMAT0005956
MIMAT0000267
MIMAT0000264
MIMAT0000265
MIMAT0000262
MIMAT0000263
MIMAT0000261
MIMAT0011158
MIMAT0016847
MIMAT0011156
MIMAT0005950
MIMAT0005951
MIMAT0005952
MIMAT0005953
MIMAT0000268
MIMAT0000269
MIMAT0005954
MIMAT0003303
MIMAT0000278
MIMAT0003302
MIMAT0000275
MIMAT0003301
MIMAT0000276
MIMAT0003300
MIMAT0000273
MIMAT0000274
MIMAT0000271
MIMAT0000272
MIMAT0011162
MIMAT0011163
MIMAT0003309
MIMAT0011160
MIMAT0003308
MIMAT0003307
MIMAT0003306
MIMAT0000279
MIMAT0003305
MIMAT0003304
MIMAT0004602
MIMAT0005933
MIMAT0000244
MIMAT0000245
MIMAT0005934
MIMAT0004604
MIMAT0000242
MIMAT0005935
MIMAT0005936
MIMAT0004605
MIMAT0000243
MIMAT0005937
MIMAT0000241
MIMAT0005939
MIMAT0001339
MIMAT0005930
MIMAT0005931
MIMAT0005932
MIMAT0005944
MIMAT0004613
MIMAT0000255
MIMAT0005945
MIMAT0000256
MIMAT0004614
MIMAT0000253
MIMAT0005946
MIMAT0000254
MIMAT0000251
MIMAT0001340
MIMAT0000257+MIMAT0002821
MIMAT0001341
MIMAT0005949
MIMAT0000252
MIMAT0000250
MIMAT0005940
MIMAT0000259
MIMAT0005941
MIMAT0005942
MIMAT0005943
MIMAT0000258
MIMAT0005911
MIMAT0000222
MIMAT0005912
MIMAT0005913
MIMAT0000462
MIMAT0002883
MIMAT0005914
MIMAT0002882
MIMAT0005915
MIMAT0000460
MIMAT0002881
MIMAT0000461
MIMAT0002880
MIMAT0005916
MIMAT0005917
MIMAT0005918
MIMAT0005919
MIMAT0000228
MIMAT0000226
MIMAT0000227
MIMAT0002888
MIMAT0005922
MIMAT0005923
MIMAT0005924
MIMAT0000231
MIMAT0005925
MIMAT0019076
MIMAT0005926
MIMAT0002890
MIMAT0019079
MIMAT0005928
MIMAT0005929
MIMAT0005920
MIMAT0005921
MIMAT0000684
MIMAT0002863
MIMAT0004800
MIMAT0000443
MIMAT0001532
MIMAT0004801
MIMAT0000440
MIMAT0000682
MIMAT0002861
MIMAT0004802
MIMAT0004803
MIMAT0000441
MIMAT0000680
MIMAT0004804
MIMAT0000681
MIMAT0004805
MIMAT0004806
MIMAT0004807
MIMAT0013517
MIMAT0004809
MIMAT0000448
MIMAT0000449
MIMAT0002868
MIMAT0000446
MIMAT0000688
MIMAT0002867
MIMAT0000447
MIMAT0001536
MIMAT0019070
MIMAT0000689
MIMAT0000686
MIMAT0019071
MIMAT0000445
MIMAT0000687
MIMAT0002864
MIMAT0005900
MIMAT0002874
MIMAT0005901
MIMAT0000454
MIMAT0002873
MIMAT0004812
MIMAT0005902
MIMAT0000451
MIMAT0019053
MIMAT0005903
MIMAT0000452
MIMAT0001541
MIMAT0004814
MIMAT0005904
MIMAT0000691
MIMAT0005905
MIMAT0000450
MIMAT0000692
MIMAT0005906
MIMAT0005907
MIMAT0000690
MIMAT0019058
MIMAT0005908
MIMAT0019059
MIMAT0004819
MIMAT0005909
MIMAT0010497
MIMAT0010251
MIMAT0000459
MIMAT0002879
MIMAT0000457
MIMAT0002878
MIMAT0000458
MIMAT0002877
MIMAT0000455
MIMAT0002876
MIMAT0000456
MIMAT0001545
MIMAT0002875
MIMAT0004810
MIMAT0003259
MIMAT0003258
MIMAT0003255
MIMAT0018990
MIMAT0003254
MIMAT0003253
MIMAT0001075
MIMAT0003252
MIMAT0003251
MIMAT0003250
MIMAT0006764
MIMAT0006765
MIMAT0006767
MIMAT0003269
MIMAT0003268
MIMAT0002178
